Learning Rate,Train Accuracy,Test Accuracy
0.001,0.9296482412060302,0.9415204678362573
0.002,0.9371859296482412,0.935672514619883
0.003,0.9321608040201005,0.9415204678362573
0.004,0.9346733668341709,0.935672514619883
0.005,0.9371859296482412,0.9473684210526315
